空间环境特征_Place_Name,空间环境特征_Spatial_Features_Natural
浦口火车站; 南京西站,
中山码头; 浦口码头; 南京长江大桥,江面
中山码头,天空; 长江（海面）
南堡公园; 长江大桥,长江
长江大桥; 南京玻璃栈桥; 大桥南堡公园,江风
民国首都电厂旧址公园,
中山码头,海水
民国海军医院旧址,长江; 江面; 落日; 天空
南京长江大桥,长江; 江面
中山码头; 浦口码头; 浦口火车站,
长江南京段,长江; 江豚
下关滨江,长江; 江面; 落日; 天空
下关火车主题公园,江风
下关火车主题公园,雨; 风
下关火车主题公园,
民国首都电厂旧址公园,长江
下关火车主题公园,
南京长江大桥; 江豚观测地; 中山码头; 浦口火车站,长江; 江豚
鼓楼滨江风光带,null
下关火车主题公园; 中山码头,长江; 日落; 天空
无法判断,无法判断
浦口火车站; 浦口码头; 长江轮渡; 中山码头; 民国首都电厂旧址公园; 铁路轮渡栈桥旧址,长江; 日落; 江风; 芦苇; 野草
下关火车主题公园; 铁路轮渡旧址; 南京西站,
下关火车主题公园,雨
浦口火车站,
江边路; 民国海军医院旧址,梧桐树; 落叶
中山码头; 下关火车主题公园,
民国首都电厂旧址公园,
燕子矶; 幕府山达摩古洞; 五马渡码头; 长江之恋邮轮; 南京长江大桥; 阅江楼; 仪凤门; 静海寺; 中山码头; 浦口火车站旧址; 珍珠泉; 幻游红楼梦光影展,长江; 山体; 泉眼; 滩涂
南堡公园; 玻璃栈道; 下关火车主题公园; 铁路轮渡栈桥旧址; 江边路; 民国海军医院旧址; 大马路; 江豚书屋; 民国首都电厂旧址公园; 中山码头; 浦口码头; 浦口火车站; 轮渡桥滩公园; 南京长江大桥,长江; 江面; 江风; 江波; 江豚; 天空
下关火车主题公园,
铁路轮渡栈桥旧址; 下关火车主题公园; 南京长江大桥; 民国海军医院旧址; 下关历史陈列馆; 民国首都电厂旧址公园; 中山码头,长江
下关火车主题公园,晚霞; 夕阳
下关电厂旧址; 民国首都电厂旧址公园; 中山码头; 小红楼,荒地（已改造）; 绿植
浦口码头; 中山码头; 下关火车主题公园,
浦口码头; 中环码头; 下关火车主题公园; 阅江楼,
玄武湖; 长江大桥; 玻璃栈道; 轮渡; 浦口火车站; 颐和路,湖光江色; 玄武湖
下关火车主题公园,天气
南京西站; 下关火车主题公园,
南京长江大桥; 江豚观测点; 中山码头; 浦口火车站街区,江豚
浦口火车站,
下关火车主题公园,长江; 风; 太阳
下关火车主题公园; 铁路轮渡旧址,花草树木
中山码头,长江
浦口火车站,
浦口火车站,
中山码头; 浦口码头; 南京长江大桥; 民国首都电厂旧址公园,长江; 江风
中山码头; 浦口码头,
中山码头; 首都电厂; 江边路; 大马路; 中国银行旧址; 江苏邮政管理局旧址; 下关历史陈列馆; 揽江台; 海军医院旧址; 铁路轮渡栈桥旧址; 惠民桥; 望江亭; 南京长江大桥; 宝塔桥; 大桥公园,
大桥南堡公园; 长江大桥; 玻璃栈道,长江
中山码头; 大马路; 民国首都电厂旧址公园,
下关滨江,长江; 天空
南堡公园; 玻璃栈道; 下关火车主题公园; 铁路轮渡栈桥旧址; 江边路; 民国海军医院旧址; 大马路; 江豚书屋; 民国首都电厂旧址公园; 中山码头; 浦口码头; 浦口火车站; 轮渡桥滩公园; 南京长江大桥,长江; 江面; 江豚; 微凉江风; 粼粼江波
中山码头北; 下关火车主题公园; 燕子矶头台洞; 燕子矶二台洞; 燕子矶三台洞; 五马渡; 上元门; 南堡公园西; 大报恩寺遗址公园; 中华门城堡; 市第一医院; 琵琶巷; 武定门; 七里街; 长白街,
鸡鸣寺; 浦口火车站,大橘猫; 腊梅; 玉兰
长江大桥; 中山码头,长江
下关火车主题公园,
宝船遗址公园; 下关滨江商务区城市客厅; 上元门城市客厅; 渡江胜利纪念馆; 中山码头; 民国首都电厂旧址公园; 民国海军医院旧址; 和记洋行,青山; 绿水; 外秦淮河; 金川河; 长江
下关火车主题公园,长江; 潮水; 夕阳; 秋日天气
,
国防园; 石头城遗址; 长江大桥玻璃栈道; 望江亭; 下关火车主题园; 铁路轮渡栈桥旧址; 江豚观赏地; 民国首都电厂旧址; 中山码头; 浦口火车站; 水游城; 光启路,长江; 江豚; 月见草; 蔷薇; 春天景象
下关; 中山码头; 南京西站; 大马路,长江; 江面; 江水
,
中山码头; 浦口码头; 浦口火车站; 静海寺; 狮子山; 阅江楼; 明代京城城墙,长江; 落日; 狮子山
下关火车主题公园; 铁路轮渡栈桥旧址,
浦口火车站,
中山码头; 民国首都电厂旧址公园; 下关大马路; 滨江风光带; 小桃园,长江; 江面; 绿植; 草坪
,
民国首都电厂旧址公园,长江; 江水; 鱼类
南京长江大桥; 江豚观测点; 中山码头; 浦口火车站街区,长江; 江面; 江豚
浦口火车站; 浦口码头,
下关火车主题公园; 中山码头; 民国首都电厂旧址公园,
,
下关火车主题公园,
浦口火车站; 南京火车北站,
,
鼓滨; 大桥; 南堡公园; 下关公园; 秦淮河; 东大丁家桥; 南京渡江胜利纪念馆,秦淮河; 江面（长江）
浦口火车站,长江
中山码头,
中山码头; 浦口火车站,夕阳
浦口码头; 中山码头; 民国首都电厂旧址; 江边路; 下关火车主题公园,长江; 江面
,
南京中山码头,黄昏
中山码头; 长江轮渡; 浦口码头; 南京北站; 民国首都电厂旧址公园; 铁路轮渡栈桥旧址,长江
中山码头; 浦口码头; 扬子江生态公园; 锦创书城,长江; 日落
浦口火车站; 中山码头; 民国首都电厂旧址公园; 下关历史陈列馆; 中山码头丛葬地纪念碑; 揽江亭; 民国海军医院旧址; 南京招商局旧址; 静海寺; 下关火车主题公园; 玻璃栈道; 长江大桥; 燕子矶,长江; 崖壁; 江面
下关火车主题公园,
百家湖; 国防园; 石头城遗址; 长江大桥玻璃栈道; 望江亭; 下关火车主题园; 铁路轮渡栈桥旧址; 江豚观赏地; 民国首都电厂旧址; 中山码头; 浦口; 南京北站; 水游城; 光启路,月见草; 蔷薇; 春天景观; 长江; 江豚
浦口火车站,
铁路轮渡栈桥旧址; 下关火车主题公园; 轮渡; 浦口火车站; 浦口公园,秋天景观
下关火车主题公园,长江; 夕阳; 江面
下关火车主题公园,
下关火车主题公园,太阳
中山码头; 浦口火车站; 南京北站,
下关火车主题公园,落日; 阳光
长江大桥; 铁路轮渡旧址,
南堡公园; 玻璃栈道; 下关火车主题公园; 民国海军医院旧址; 大观天地; 阅江楼,长江
铁路轮渡旧址,
浦口火车站,
民国首都电厂旧址公园,
民国海军医院旧址,
浦口火车站,
下关火车主题公园; 南京西站,
下关火车主题公园,
民国首都电厂旧址公园,
,
五马渡码头; 幕燕滨江风貌区; 樱花大道; 燕子矶公园; 八卦洲; 南京长江大桥; 浦口火车站; 浦口轮渡码头; 国际会展中心; 渡江胜利纪念碑滨江广场; 中山码头; 民国首都电厂旧址公园; 铁路轮渡栈桥旧址; 江豚观赏地; 城市客厅; 南京下关历史陈列馆; 阅江楼,长江; 江面; 江豚; 绿道; 草坪
中山码头; 下关火车主题公园; 铁路轮渡旧址,长江; 落日
南京,
下关火车主题公园,
同仁医院住院大楼; 戴世璜别墅; 包寿英别墅; 护士学校; 堂屋; 医师楼; 护士楼,
中山码头; 浦口火车站; 南京长江大桥,长江; 江面; 江风
铁路轮渡旧址,
浦口火车站,夕阳; 梧桐树
中山码头; 浦口码头; 长江大桥,长江
中山码头; 浦口火车站,
中山码头,长江; 风景; 水体
大桥公园; 亲水玻璃桥; 下关火车主题公园,天气
浦口火车站,
下关; 南京,天气（晴）
红山森林动物园; 玄武湖; 下关火车主题公园,
浦口码头; 南京北站; 中山码头; 民国首都电厂旧址; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车主题公园; 长江大桥南堡公园; 阅江楼; 淮滨路; 映红桥,长江; 秦淮河; 夕阳; 风
下关火车主题公园; 铁路轮渡栈桥旧址; 民国海军医院旧址,
下关火车主题公园,
长江大桥玻璃栈道; 下关火车主题公园; 南京玻璃栈桥; 南堡公园,
钟山码头; 浦口码头; 中山码头; 南京西站（旧车站）,长江; 落日; 风
浦口火车站,
中山码头; 浦口码头; 浦口火车站旧址; 浦口公园,江面; 大雾
下关火车主题公园; 铁路轮渡旧址; 民国海军医院旧址; 民国首都电厂旧址公园; 中山码头,
惠济寺; 华严寺; 零号路; 石陵环线; 滁河环线; 长江大桥; 中山码头,河流; 滨江区域
南京长江大桥; 下关火车主题园; 铁路轮渡栈桥旧址; 中山码头,长江; 大型货轮; 浪; 林; 天际线
中山码头,长江; 风景视野
下关火车主题公园; 浦口火车站; 南京北站,
五马渡码头; 幕燕滨江风貌区; 樱花大道; 燕子矶公园; 八卦洲; 南京长江大桥; 浦口火车站; 浦口轮渡码头; 国际会展中心; 渡江胜利纪念碑滨江广场; 中山码头; 民国首都电厂和码头旧址公园; 南京下关历史陈列馆; 铁路轮渡栈桥旧址; 江豚观赏地; 城市客厅; 阅江楼,长江; 江豚; 樱花; 草坪; 绿道; 阅江楼（视觉背景）
中山码头北; 下关火车主题公园; 燕子矶地铁站北; 燕子矶公园; 五马渡; 上元门; 南堡公园西,
中山码头; 玄武湖; 鸡鸣寺,晚风; 落日; 晚霞; 樱花
南堡公园; 下关火车主题公园; 中山码头; 浦口火车站; 南京西站,
下关火车主题公园,
长江大桥; 大桥南堡公园; 玻璃栈道,长江; 江面
下关火车主题公园; 浦口火车站旧址,
玄武湖; 中山码头; 燕子矶,落日
浦口火车站; 七号线清凉门站,
下关滨江; 民国首都电厂旧址公园; 中山码头; 浦口火车站,
浦口码头; 中山码头; 民国海军医院旧址,
下关滨江; 民国大马路; 民国海军医院旧址; 下关火车主题公园; 长江大桥,长江
下关码头; 浦口码头; 南京北站; 下关火车主题园; 南京长江大桥,
中山码头,
江边,江风; 江水
大喜馄饨; 浦口火车站; 浦口码头; 长江轮渡; 中山码头; 民国首都电厂旧址公园; 铁路轮渡栈桥旧址,长江; 日落; 芦苇; 野草; 江风
浦口火车站,
下关火车主题公园,
中山码头; 浦口码头,
下关滨江; 灯塔,长江; 江面; 落日; 风
浦口火车站; 南京可口可乐博物馆,
三汊河; 中山码头,长江
大观天地; 天妃宫; 阅江楼; 下关火车主题公园,
民国海军医院旧址,
下关火车主题公园,江面; 落日; 风
中山码头,长江; 风; 天空
下关火车主题公园,
中山码头; 民国首都电厂旧址公园; 江豚观赏地; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车公园; 玻璃栈桥,长江; 晚霞; 微风; 芦苇荡
中山码头; 浦口火车站,
民国首都电厂旧址公园,
下关火车主题公园,江边
南京下关火车主题公园,
浦口; 废弃火车站月台,
中山码头,
浦口火车站,
,落日
下关火车主题公园,长江; 江豚; 夕阳; 乌龟
南京下关火车主题公园; 南京西站,
长江大桥; 玻璃栈道,长江
,落日; 余晖
长江大桥; 下关火车主题公园; 铁路轮渡栈桥旧址; 民国海军医院旧址,长江; 冬日阳光
浦口火车站,江边
中山码头,
中山码头; 南京博物院; 紫金山; 夫子庙; 红山动物园; 梧桐大道,紫金山; 日落; 梧桐树
南京长江大桥; 红云桥; 中山码头; 下关历史陈列馆; 望江亭; 下关火车主题公园; 铁路轮渡栈桥,江豚; 夕阳; 秦淮河; 长江; 浪花; 蓝天白云; 鹰
,温度
下关电厂; 民国首都电厂旧址; 江豚检测点; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车主题公园; 玻璃栈桥; 中山码头,长江; 风景
浦口火车站,
下关火车主题公园,
阅江楼; 中山码头; 江豚观赏地; 铁路轮渡旧址; 下关火车主题公园; 玻璃栈道,长江; 秋天气候; 江风
中山码头; 下关火车主题公园,
中山码头,夕阳; 余晖
南堡公园西; 锦绣华府北; 下关火车主题公园; 南京港6号码头; 江边路总站; 中山码头北; 中山码头; 唐山路.九家圩路; 唐山路南; 南通路; 白云亭西; 白云亭; 农贸中心; 三汊河地铁站; 清江花园; 佳盛花园; 定淮门; 古平岗西,
下关火车主题公园,
中山码头; 下关火车主题公园; 南京站南广场东; 中山陵; 明孝陵; 灵谷寺公园; 海底世界; 美龄宫; 总统府; 中华门城堡; 大报恩寺遗址公园; 牛首山风景区; 栖霞山; 南京欢乐谷,
无法判断,无法判断
中山码头; 1865晨光创意园; 珍珠河; 鸡鸣寺; 灵谷寺; 中山植物园北园; 中山植物园南园; 朝天宫; 莫愁湖; 玄武湖; 绿博园,白玉兰; 樱花; 郁金香; 海棠花; 日落; 长江; 天空
,
中华书局; 御道街; 中山码头; 灵谷塔,
,
下关电厂; 民国首都电厂旧址; 江豚检测点; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车主题公园; 玻璃栈桥; 中山码头,长江; 风景
下关火车主题公园,长江; 风
中山码头; 浦口火车站; 民国首都电厂旧址,
浦口火车站; 中山码头,
中山码头,长江; 江风; 水汽; 宽阔江面
南京鼓楼滨江风光带,
铁路轮渡栈桥旧址,
中山码头,长江; 天空
浦口火车站; 牛首山; 南京禄口国际机场,
热河路; 南京西站; 江边路北端火车主题公园; 海军医院旧址; 下关历史陈列馆; 中山码头; 浦口火车站,梧桐树; 长江; 秋叶
紫金山; 台城; 中山码头; 老门东; 秦淮画舫,热浪; 春雷; 悬铃木; 新绿; 烟柳
滨江三千米; 玻璃栈道; 下关火车主题公园; 海军医院旧址; 下关历史陈列馆; 首都电厂旧址; 中山码头,
长江大桥; 大桥南堡公园; 江边大桥墩遗址公园,长江; 江面; 落日; 天空
挹江门; 中山码头; 民国首都电厂旧址; 江豚观赏地; 大马路; 下关历史陈列馆; 铁路栈桥旧址; 下关火车公园; 玻璃栈桥,长江; 江面; 落日; 江豚
中山码头,
民国海军医院旧址,
渡江胜利纪念馆; 渡江胜利广场; 民国首都电厂旧址公园,
八卦洲; 浦口轮渡码头; 浦口火车站; 南京长江大桥; 大桥公园; 江豚观赏地; 渡江胜利纪念馆; 中山码头; 南京下关历史陈列馆; 铁路轮渡栈桥旧址; 阅江楼; 民国首都电厂和码头旧址公园; 幕燕滨江度假区; 樱花观赏带; 燕子矶公园; 长江二桥; 南京长江观音景区,长江; 江面; 江豚; 樱花; 燕子矶
栖霞山; 先锋书店; 梧桐大道; 明孝陵后湖; 中山码头,日出; 枫叶; 山顶; 后湖
中山码头; 浦口码头,
南堡公园; 玻璃栈道; 长江大桥,蝉鸣; 晚霞; 夏日
中山码头; 大马路; 小红楼; 码头候船大厅; 民国海军医院旧址; 铁路轮渡栈桥旧址,长江
浦口火车站; 轮渡口,
玻璃栈道; 下关火车主题公园; 铁路轮渡栈桥旧址; 大马路; 民国首都电厂旧址公园; 中山码头; 浦口码头; 颐和路,长江; 日落
浦口火车站历史风貌区; D9街区,
浦口火车站,
下关; 中山码头; 浦口火车站; 民国首都电厂旧址公园; 长江江豚观测点; 民国中国银行南京分行旧址; 民国江南邮政管理局旧址; 下关火车主题园; 长江大桥; 小红楼,长江; 江面; 波光粼粼; 江风; 日落
下关火车主题公园,
浦口码头; 中华码头; 下关火车主题公园; 玻璃栈桥; 大桥公园; 明瓦廊; 佛手湖郊野公园,湖泊; 江面
,
下关火车主题公园,绿化植被; 草坪; 树木
,
南堡公园; 中山码头; 浦口码头; 火车站; 玄武湖; 甘尼仕,玄武湖
浦口火车站,江风
中山码头,长江
下关火车主题公园,
下关火车主题公园,蓝天
下关滨江,长江; 秋季植被; 天气
民国首都电厂旧址公园,
民国首都电厂旧址公园; 中山码头,长江
下关火车主题公园,落日
浦口火车站,
中山码头; 长江轮渡; 浦口码头; 浦口火车站; 南京市长江大桥; 狮子桥; 红庙; 1913街区; 德基美术馆,
中山码头; 浦口码头; 浦口火车站,夕阳
下关火车主题公园; 老江口; 铁路轮渡旧址,
中山码头; 江豚书屋; 中山码头丛葬地纪念碑; 南京铁路轮渡栈桥旧址; 下关火车主题公园; 长江大桥南堡公园; 玻璃栈道; 大桥公园,长江; 江水
民国首都电厂旧址; 下关发电厂,
浦口火车站,
无法判断,日落
浦口火车站,
浦口火车站,无法判断
中山码头; 民国首都电厂旧址,长江; 江面; 夕照
民国首都电厂旧址公园; 下关发电所,长江
南京下关火车主题园,
中山码头; 浦口码头,
民国海军医院旧址,
下关火车主题公园,长江; 大桥
中山码头,
红云桥; 长江大桥; 中山码头; 下关火车主题公园; 铁路轮渡栈桥; 南京渡江纪念馆; 望江亭; 下关历史陈列馆; 三汊河闸口; 秦淮河段; 广播电视塔,长江; 江面; 落日; 天空; 秦淮河; 江豚; 鹰; 鱼鹰
下关火车主题公园,
浦口江边; 浦口火车站,长江; 高楼大厦; 天气
栖霞山; 中山码头; 火车站; 夫子庙,红叶; 长江; 夕阳
中山码头; 浦口站; 南京长江大桥,长江
无法判断,无法判断
浦口火车站,
中山码头; 浦口码头,
南京长江大桥; 大桥南堡公园; 桥北滨江生态公园,长江
中山码头; 江豚书屋; 中山码头丛葬地纪念碑; 南京铁路轮渡栈桥旧址; 下关火车主题公园; 长江大桥南堡的玻璃栈道; 大桥公园,长江; 江水
,
浦口火车站; 中山码头; 浦口码头; 大马路,
,
下关滨江; 铁路轮渡栈桥旧址,
中山码头; 浦口码头; 下关火车主题公园,
浦口公园; 浦口码头; 中山码头; 民国首都电厂旧址公园; 江豚观赏地; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车主题公园; 长江大桥玻璃栈道; 南京玻璃栈桥(南堡公园),长江; 落日; 江面
中山码头; 浦口火车站,长江
中山码头; 民国海军医院旧址; 铁路轮渡栈桥旧址; 长江大桥,长江; 江水; 树木
下关火车主题公园,
浦口火车站,
,
浦口火车站,
浦口火车站,
无法判断,落日
鼓楼火车头主题公园; 下关滨江,
铁路轮渡旧址,草丛
民国首都电厂旧址公园; 江豚观赏地; 欢乐舞台; 鱼嘴湿地公园,长江; 江豚
长江; 渡江胜利纪念馆; 民国首都电厂旧址; 民国海军医院旧址; 中山码头,长江; 长江水
首都电厂; 首都电厂旧址; 中山轮渡; 浦口码头,长江
南京西站; 南京北站; 浦口火车站; 中华门火车站; 南京站; 南京南站; 紫金山东站; 仙林站; 江浦站; 龙潭站; 江宁站; 六合站; 高淳站; 溧水站; 浦镇火车站,
浦口火车站; 长江大桥; 秦淮河; 大报恩寺,长江; 秦淮河
浦口火车站,
下关滨江,
夕Space落日餐厅; 中山码头,风
下关火车主题公园; 南京西站; 长江大桥; 江边栈道,长江
民国首都电厂旧址; 江豚观赏地; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车主题公园; 玻璃栈桥; 中山码头,江豚
中山码头,
下关火车主题公园,落日
浦口火车站; 中山码头; 八路军驻京办; 拉贝故居; 中共梅园新村; 地质博物馆,
下关火车主题公园; 铁路轮渡旧址,江边
浦口火车站,无法判断
下关火车主题公园,
中山码头; 浦口码头; 浦口火车站,
中山码头,长江; 落日; 天空
铁路轮渡旧址,长江
南京江豚城市公园,长江; 天空; 云; 风; 江豚
中山码头; 浦口码头,
南京长江大桥; 玻璃栈道; 下关火车主题园; 铁路轮渡栈桥旧址; 民国海军医院旧址; 大观天地; 梅花谷路,
中山码头; 浦口火车站; 南京浦口码头,
浦口火车站,梧桐叶; 光阴（隐喻）
下关火车主题公园,长江; 日落
中山码头; 长江大桥; 南京长江大桥; 浦口火车站; 南京西站; 玻璃栈道; 大桥南堡公园,长江; 江面; 江风; 落日; 天空
大桥南堡公园; 长江大桥,长江
中山码头,落日
浦口大马路; 南京浦口火车站街区,
扬子江公园; 浦口火车站,太阳
下关火车主题公园; 铁路轮渡旧址,
下关火车主题公园,
中山码头; 下关火车主题公园; 长江,长江; 江景
下关火车主题公园; 中山码头; 铁路轮渡栈桥旧址,长江; 江风
中山码头,
浦口火车站,
下关火车主题公园,风; 天气
中山码头,长江; 夕阳; 余晖
下关滨江; 灯塔,长江; 落日; 风
滨江风光带,长江; 江面; 风; 夏风
中山码头,
铁路轮渡旧址,长江
,
下关滨江,长江; 江面; 江豚
下关滨江; 长江大桥,长江; 江面; 落日; 天空; 风
南京,
中山码头,长江
,
,
,
国美旧馆; 大华戏院; 铁路轮渡栈桥旧址; 藏经楼; 励志社,
南堡公园; 玻璃栈道; 下关火车主题公园; 铁路轮渡栈桥旧址; 江边路; 民国海军医院旧址; 大马路; 江豚书屋; 民国首都电厂旧址公园; 中山码头; 浦口码头; 浦口火车站; 轮渡桥滩公园; 南京长江大桥,长江; 江面; 江风; 江波; 江豚
浦口火车站; 浦口码头; 长江轮渡; 中山码头; 民国首都电厂旧址公园; 铁路轮渡栈桥旧址,长江; 日落; 江风; 树荫; 芦苇; 野草
南京滨江风光带; 火车头主题园; 下关老江口,长江; 江面; 晚霞; 日落; 风云
下关火车主题公园,
下关火车公园; 铁路轮渡栈桥旧址,
浦口火车站,
,
南堡公园; 玻璃栈道; 下关火车主题公园; 铁路轮渡栈桥旧址; 江边路; 民国海军医院旧址; 大马路; 江豚书屋; 民国首都电厂旧址公园; 中山码头; 浦口码头; 浦口火车站; 轮渡桥滩公园; 南京长江大桥,长江; 江风; 江波
秦淮河; 颐和路; 玄武湖; 中山码头; 挹江门; 纪念碑; 热河路; 龙虾馆,秦淮河; 太阳; 日落; 湖面; 倒影
南京长江大桥; 大桥南堡公园; 玻璃栈道,
浦口火车站,
中山码头,长江; 落日; 江豚
下关火车主题公园,
浦口码头; 中山码头,长江; 江面
南京北站; 民国海军医院旧址; 铁路轮渡栈桥,长江大桥（自然与人工结合要素）
南京中山码头,天气
民国首都电厂旧址公园; 中山码头,长江; 江水; 江景
铁路轮渡旧址,长江
下关火车主题公园,
南堡公园; 江边路; 中山码头; 铁路轮渡旧址; 网红栈桥,
南京博物院; 古城墙; 遇难同胞纪念馆; 牛首山; 夫子庙; 中山陵; 雨花台; 大报恩寺; 中华门; 中山码头; 浦口火车站,梧桐树; 山体（牛首山）
中山码头; 下关火车主题公园,
中山码头; 浦口火车站; 南京长江大桥,长江; 江面
中山码头,
下关火车主题公园,
南京北岸铁路轮渡栈桥码头旧址,
中山码头,日落
下关火车主题公园,夕阳; 江面
南京长江大桥; 江豚观测点; 中山码头; 浦口火车站,长江; 江豚
,
无法判断,无法判断
无法判断（仅提及“南京江边一公园”但无具体名称）,长江
南京西站; 中山码头; 下关火车主题公园; 江豚观赏地; 玻璃栈道; 长江大桥; 大桥南堡公园; 金陵船厂; 幕燕滨江风景区; 燕子矶,长江; 日落; 蓝调时刻; 燕子矶
民国首都电厂旧址公园,
中山码头,长江; 日落; 天空
下关火车主题公园; 长江大桥,长江; 长江大桥; 江面
下关火车主题公园; 铁路轮渡旧址; 大马路; 中山码头,
晨光1865; 曼度D9; 卷烟厂; 金基国创园; 江南造币厂; 智能制造新都市产业园; 南京二机; 南化1934; 梅钢工业文化旅游区; 首都水厂旧址; 大唐发电站; 浦口火车站; 金陵船厂; 江南水泥厂; 中国水泥厂; 南京西站,
浦口火车站,无法判断
中山码头; 民国海军医院旧址; 铁路轮渡栈桥旧址; 长江大桥,长江; 江水; 树木
中山码头,
下关滨江; 揽江台,长江; 江面
下关火车主题公园,
浦口火车站,
下关火车主题公园,
中山码头; 长江微笑驿站; 红云桥; 江豚观赏平台; 江豚书屋; 南京长江水生生物科普体验馆; 梧桐语江豚研学中心; 江心洲; 长江江豚救护中心,长江; 江面; 黑鸢; 江豚
南京铁路轮渡栈桥旧址; 下关火车主题园,长江; 夕阳; 轻风; 浪花
中山码头,风
浦口火车站; 南京北站,
渡江胜利纪念馆; 中山码头; 下关火车主题公园; 南京长江大桥; 五马渡广场; 燕子矶公园; 幕燕滨江风貌区,长江; 江面; 岸线; 山体（燕子矶）; 绿植; 草坪
浦口火车站; 长江大桥玻璃栈道,
中山码头,江边
鼓楼滨江风光带,长江; 绣球花; 红色绣球花; 蓝色绣球花; 紫色绣球花; 绿色绣球花; 白色绣球花
中山码头; 民国首都电厂旧址公园,江面
下关火车主题公园,
,
中山码头; 浦口火车站; 大马路,
民国海军医院旧址,
浦口火车站; 浦口码头; 中山码头; 江边路; 下关火车主题公园; 长江大桥,长江; 落日
南京西站; 长江大桥; 下关火车主题公园,长江; 江面; 落日; 天空; 芦苇; 浪花
中山码头; 江豚书屋; 南京铁路轮渡栈桥旧址; 下关火车主题公园; 长江大桥南堡公园; 玻璃栈道; 大桥公园,长江; 江水
长江大桥; 下关; 浦口区桥北; 下关火车主题公园; 铁路轮渡旧址,长江
中山码头; 民国首都电厂旧址; 江边路; 下关历史陈列馆; 民国海军医院旧址; 大马路,
中山码头; 民国首都电厂旧址公园; 欢乐大舞台; 民国海军医院旧址; 下关火车主题公园; 铁路轮渡旧址; 南京西站,雪景
中山码头; 浦口码头,日落; 对岸景观
下关火车主题公园,
长江大桥; 大桥南堡公园,长江
浦口火车站,
映虹桥; 长江大桥; 下关西火车主题园; 南京西站,长江; 扬子江; 江面; 江豚
,
中山码头; 浦口码头; 南京北站; 大喜馄饨店; 江北老火车站; 渡江胜利纪念馆,长江; 夕阳
德基广场; 中山码头; 长江轮渡; 浦口码头; 浦口火车站; 华润万象汇; 南京市长江大桥; 狮子桥; 红庙; 1913街区,
中山码头,
鱼嘴湿地公园; 中山码头,湿地
下关火车主题公园,
下关火车主题公园,长江; 江水; 阳光; 波纹; 船影
中山码头; 红云桥; 渡江胜利纪念馆; 民国首都电厂旧址公园; 下关滨江外滩; 火车轮渡公园; 南京长江大桥; 幕燕风光带; 浦口滨江外滩; 阅江楼,长江; 江面; 滨江风光
浦口火车站,
南京西站; 下关火车主题公园,
大喜馄饨; 浦口火车站; 浦口码头; 长江轮渡; 中山码头; 民国首都电厂旧址公园; 铁路轮渡栈桥旧址,长江; 日落; 芦苇; 江风; 树荫
南京长江大桥; 江豚观赏地; 中山码头; 浦口火车站,长江; 江豚
下关火车主题公园,
溧水下关火车主题公园,
中山码头,长江
null,null
长江大桥; 民国海军医院旧址,长江; 梧桐叶; 凤栖梧桐（隐喻）
中山码头; 长江; 江豚观赏地,长江; 江豚
颐和路; 南堡公园; 长江大桥; 玄武湖; 鸡鸣寺; 明城墙,玄武湖
下关火车主题公园,夕阳; 天空
珍珠泉景区; 动物园; 浦口火车站; 肯德基（附近）; 酒店,
中山码头,
南京长江大桥; 大桥南堡公园,
南京渡江纪念馆; 三汊河闸口; 红云桥; 中山码头; 下关历史陈列馆; 望江亭; 长江大桥; 下关火车主题公园; 铁路轮渡栈桥,夕阳; 鱼鹰; 江豚; 浪打矶石
燕子矶公园; 下关火车站; 中山码头; 浦口码头,无法判断
下关滨江; 中山码头; 民国海军医院旧址; 江豚观赏地; 下关火车主题公园; 南京长江大桥玻璃桥; 映虹桥; 红云桥; 渡江胜利纪念馆,长江; 江面; 江豚; 天空
浦口火车站,
中山码头,
南京铁路轮渡栈桥旧址,
中山码头,长江; 落日
中山码头; 浦口火车站; 南京长江大桥,长江
浦口火车站; 浦口码头; 长江轮渡; 中山码头; 民国首都电厂旧址公园; 铁路轮渡栈桥旧址,长江; 日落; 芦苇; 野草; 江风
,
下关大马路; 下关火车主题公园; 铁路栈桥,
中山码头; 长江轮渡; 浦口码头,
下关火车主题公园; 铁路轮渡旧址,
下关火车主题公园,
长江路288号中国近代史建筑遗址博物馆; 江宁织造博物馆; 德基洗手间; 电厂咖啡; 中山码头; 长江轮渡; 浦口码头; 浦口火车站; 南京西站; 南京市长江大桥; 狮子桥东; 马祥兴; 红庙; 1913星巴克; 小康咖啡; 长江路101号7楼咖啡; 德基二期8楼美术馆; 62楼Flair,
浦口码头; 中山码头; 长江大桥; 民国首都电厂旧址公园; 江豚观赏地; 下关火车主题公园,长江; 江面; 江豚
,
下关火车主题公园; 中山码头; 浦口码头; 浦口火车站,
中山码头; 浦口码头; 浦口火车站,长江; 落日; 江面; 天空
南京长江大桥; 下关火车主题公园; 铁路轮渡栈桥旧址,
,
中山码头; 浦口码头,
长江大桥; 大桥南堡公园,长江; 主航道; 夹江
下关火车主题公园,
下关火车主题公园,
